No	市町	スタンプ設置場所	住所	【参考】「ポケふた」設置場所
1	四日市市	中央緑地運動施設 総合体育館	四日市市日永東1-3-21（中央緑地公園内）	中央緑地公園
2	桑名市	なばなの里（入村ゲート前）	桑名市長島町駒江漆畑270	なばなの里
3	鈴鹿市	鈴鹿市伝統産業会館（展示室）	鈴鹿市寺家3-10-1	鈴鹿市伝統産業会館
4	亀山市	青少年研修センター	亀山市若山町7-10（亀山公園 時計台付近）	亀山公園 時計台付近
5	いなべ市	にぎわいの森 inabe’s Shop	いなべ市北勢町阿下喜31	にぎわいの森
6	木曽岬町	木曽岬町役場	桑名郡木曽岬町大字西対海地251	木曽岬町立図書館
7	東員町	東員町中部公園内「マメマチCAFE」	員弁郡東員町北大社1634	東員町中部公園
8	菰野町	菰野町図書館	三重郡菰野町潤田1250（福祉公園）	菰野町福祉公園
9	朝日町	朝日町教育文化施設	三重郡朝日町柿2278（ふれあいパーク）	ふれあいパーク
10	川越町	近鉄 川越富洲原駅（改札外）	三重郡川越町豊田275（川越富洲原駅西口）	川越富洲原駅 西口
11	津市	ホテル津センターパレス（2階フロント近く）	津市大門7-15（津市まん中広場内）	津市まん中広場
12	松阪市	松阪市文化財センター「はにわ館」	松阪市外五曲町1（鈴の森公園）	鈴の森公園
13	多気町	ごかつら池どうぶつパーク	多気郡多気町五桂992（ごかつら池 ふるさと村）	ごかつら池 ふるさと村
14	明和町	いつきのみや地域交流センター	多気郡明和町斎宮2604-49	いつきのみや地域交流センター
15	大台町	奥伊勢フォレストピア	多気郡大台町薗993	奥伊勢フォレストピア
16	伊勢市	伊勢市駅前観光案内所	伊勢市吹上1-1-4（外宮前広場）	外宮前広場
17	鳥羽市	鳥羽マルシェ	鳥羽市鳥羽1-2383-42（ドルフィン公園）	ドルフィン公園
18	志摩市	絵かきの町交流広場（大王崎観光駐車場）	志摩市大王町波切276（八幡さん公園）	八幡さん公園
19	玉城町	アスピア玉城「ふれあいの館」	度会郡玉城町原4266（アスピア玉城内）	アスピア玉城 ふれあいの館
20	度会町	いらっ茶いわたらい	度会郡度会町大野木1260（宮リバー度会パーク内）	宮リバー度会パーク
21	大紀町	山海の郷 紀勢	度会郡大紀町崎2154-1	山海の郷 紀勢
22	南伊勢町	南伊勢町観光協会（観光案内所）	度会郡南伊勢町五ヶ所浦3917（見江島展望台）	見江島展望台
23	名張市	なばり観光案内所	名張市平尾3225-10（朝日公園）	朝日公園
24	伊賀市	伊賀鉄道 上野市駅（改札外）	伊賀市上野丸之内61-2（上野市駅前）	上野市駅前
25	尾鷲市	夢古道おわせ（夢古道の湯）	尾鷲市向井12-4	夢古道おわせ
26	熊野市	鬼ヶ城センター	熊野市木本町1835-7	鬼ヶ城センター
27	紀北町	紀北町観光サービスセンター	北牟婁郡紀北町東長島2410-73（道の駅 紀伊長島マンボウ）	道の駅 紀伊長島マンボウ
28	御浜町	道の駅 パーク七里御浜	南牟婁郡御浜町阿田和4926-5	道の駅 パーク七里御浜
29	紀宝町	道の駅 紀宝町ウミガメ公園（ウミガメ資料館）	南牟婁郡紀宝町井田568-7	道の駅 紀宝町ウミガメ公園